payment_id,subscription_id,customer_id,payment_date,amount,payment_status,payment_type
PAY_000041,SUB_000010,CUST_002874,2025-05-17,9.99,paid,renewal
PAY_000042,SUB_000010,CUST_002874,2025-06-17,9.99,paid,renewal
PAY_000043,SUB_000010,CUST_002874,2025-07-17,9.99,paid,renewal
PAY_000044,SUB_000010,CUST_002874,2025-08-17,9.99,paid,renewal
PAY_000045,SUB_000010,CUST_002874,2025-09-17,9.99,paid,renewal
PAY_000046,SUB_000010,CUST_002874,2025-10-17,9.99,paid,renewal
PAY_000047,SUB_000010,CUST_002874,2025-11-17,9.99,paid,renewal
PAY_000048,SUB_000010,CUST_002874,2025-12-17,9.99,paid,renewal
PAY_000049,SUB_000013,CUST_001955,2025-01-17,99.96,paid,trial_conversion
PAY_000050,SUB_000020,CUST_003534,2025-01-17,99.96,paid,trial_conversion
PAY_000051,SUB_000030,CUST_000455,2025-01-19,9.99,paid,trial_conversion
PAY_000052,SUB_000030,CUST_000455,2025-02-19,9.99,paid,renewal
PAY_000053,SUB_000030,CUST_000455,2025-03-19,9.99,paid,renewal
PAY_000054,SUB_000030,CUST_000455,2025-04-19,9.99,paid,renewal
PAY_000055,SUB_000030,CUST_000455,2025-05-19,9.99,paid,renewal
PAY_000056,SUB_000030,CUST_000455,2025-06-19,9.99,paid,renewal
PAY_000057,SUB_000030,CUST_000455,2025-07-19,9.99,paid,renewal
PAY_000058,SUB_000030,CUST_000455,2025-08-19,9.99,paid,renewal
PAY_000059,SUB_000030,CUST_000455,2025-09-19,9.99,paid,renewal
PAY_000060,SUB_000034,CUST_000484,2025-01-19,99.96,paid,trial_conversion
PAY_000061,SUB_000038,CUST_000691,2025-01-19,99.96,paid,trial_conversion
PAY_000062,SUB_000039,CUST_002092,2025-01-19,99.96,paid,trial_conversion
PAY_000063,SUB_000047,CUST_003649,2025-01-20,9.99,paid,trial_conversion
PAY_000064,SUB_000047,CUST_003649,2025-02-20,9.99,paid,renewal
PAY_000065,SUB_000047,CUST_003649,2025-03-20,9.99,paid,renewal
PAY_000066,SUB_000047,CUST_003649,2025-04-20,9.99,paid,renewal
PAY_000067,SUB_000047,CUST_003649,2025-05-20,9.99,paid,renewal
PAY_000068,SUB_000047,CUST_003649,2025-06-20,9.99,paid,renewal
PAY_000069,SUB_000047,CUST_003649,2025-07-20,9.99,paid,renewal
PAY_000070,SUB_000047,CUST_003649,2025-08-20,9.99,paid,renewal
PAY_000071,SUB_000047,CUST_003649,2025-09-20,9.99,paid,renewal
PAY_000072,SUB_000047,CUST_003649,2025-10-20,9.99,paid,renewal
PAY_000073,SUB_000047,CUST_003649,2025-11-20,9.99,paid,renewal
PAY_000074,SUB_000047,CUST_003649,2025-12-20,9.99,paid,renewal
PAY_000075,SUB_000051,CUST_001580,2025-01-20,9.99,paid,trial_conversion
PAY_000076,SUB_000051,CUST_001580,2025-02-20,9.99,paid,renewal
PAY_000077,SUB_000051,CUST_001580,2025-03-20,9.99,paid,renewal
PAY_000078,SUB_000051,CUST_001580,2025-04-20,9.99,paid,renewal
PAY_000079,SUB_000051,CUST_001580,2025-05-20,9.99,paid,renewal
PAY_000080,SUB_000051,CUST_001580,2025-06-20,9.99,paid,renewal
PAY_000081,SUB_000051,CUST_001580,2025-07-20,9.99,paid,renewal
PAY_000082,SUB_000051,CUST_001580,2025-08-20,9.99,paid,renewal
PAY_000083,SUB_000052,CUST_001449,2025-01-20,9.99,paid,trial_conversion
PAY_000084,SUB_000052,CUST_001449,2025-02-20,9.99,paid,renewal
PAY_000085,SUB_000052,CUST_001449,2025-03-20,9.99,paid,renewal
PAY_000086,SUB_000052,CUST_001449,2025-04-20,9.99,paid,renewal
PAY_000087,SUB_000052,CUST_001449,2025-05-20,9.99,paid,renewal
PAY_000088,SUB_000053,CUST_000520,2025-01-20,99.96,paid,trial_conversion
PAY_000089,SUB_000056,CUST_003636,2025-01-21,9.99,paid,trial_conversion
PAY_000090,SUB_000056,CUST_003636,2025-02-21,9.99,paid,renewal
PAY_000091,SUB_000056,CUST_003636,2025-03-21,9.99,paid,renewal
PAY_000092,SUB_000056,CUST_003636,2025-04-21,9.99,paid,renewal
PAY_000093,SUB_000056,CUST_003636,2025-05-21,9.99,paid,renewal
PAY_000094,SUB_000056,CUST_003636,2025-06-21,9.99,paid,renewal
PAY_000095,SUB_000056,CUST_003636,2025-07-21,9.99,paid,renewal
PAY_000096,SUB_000056,CUST_003636,2025-08-21,9.99,paid,renewal
PAY_000097,SUB_000056,CUST_003636,2025-09-21,9.99,paid,renewal
PAY_000098,SUB_000056,CUST_003636,2025-10-21,9.99,paid,renewal
PAY_000099,SUB_000056,CUST_003636,2025-11-21,9.99,paid,renewal
PAY_000100,SUB_000056,CUST_003636,2025-12-21,9.99,paid,renewal
PAY_000101,SUB_000064,CUST_001140,2025-01-21,99.96,paid,trial_conversion
PAY_000102,SUB_000065,CUST_000875,2025-01-21,9.99,paid,trial_conversion
PAY_000103,SUB_000065,CUST_000875,2025-02-21,9.99,paid,renewal
PAY_000104,SUB_000065,CUST_000875,2025-03-21,9.99,paid,renewal
PAY_000105,SUB_000065,CUST_000875,2025-04-21,9.99,paid,renewal
PAY_000106,SUB_000065,CUST_000875,2025-05-21,9.99,paid,renewal
PAY_000107,SUB_000065,CUST_000875,2025-06-21,9.99,paid,renewal
PAY_000108,SUB_000065,CUST_000875,2025-07-21,9.99,paid,renewal
PAY_000109,SUB_000065,CUST_000875,2025-08-21,9.99,paid,renewal
PAY_000110,SUB_000065,CUST_000875,2025-09-21,9.99,paid,renewal
PAY_000111,SUB_000065,CUST_000875,2025-10-21,9.99,paid,renewal
PAY_000112,SUB_000065,CUST_000875,2025-11-21,9.99,paid,renewal
PAY_000113,SUB_000065,CUST_000875,2025-12-21,9.99,paid,renewal
PAY_000114,SUB_000077,CUST_000970,2025-01-22,9.99,paid,trial_conversion
PAY_000115,SUB_000077,CUST_000970,2025-02-22,9.99,paid,renewal
PAY_000116,SUB_000077,CUST_000970,2025-03-22,9.99,paid,renewal
PAY_000117,SUB_000077,CUST_000970,2025-04-22,9.99,paid,renewal
PAY_000118,SUB_000078,CUST_002703,2025-01-22,99.96,paid,trial_conversion
PAY_000119,SUB_000079,CUST_003873,2025-01-22,99.96,paid,trial_conversion
PAY_000120,SUB_000085,CUST_003765,2025-01-22,9.99,paid,trial_conversion
PAY_000121,SUB_000085,CUST_003765,2025-02-22,9.99,paid,renewal
PAY_000122,SUB_000085,CUST_003765,2025-03-22,9.99,paid,renewal
PAY_000123,SUB_000085,CUST_003765,2025-04-22,9.99,paid,renewal
PAY_000124,SUB_000085,CUST_003765,2025-05-22,9.99,paid,renewal
PAY_000125,SUB_000085,CUST_003765,2025-06-22,9.99,paid,renewal
PAY_000126,SUB_000085,CUST_003765,2025-07-22,9.99,paid,renewal
PAY_000127,SUB_000085,CUST_003765,2025-08-22,9.99,paid,renewal
PAY_000128,SUB_000085,CUST_003765,2025-09-22,9.99,paid,renewal
PAY_000129,SUB_000085,CUST_003765,2025-10-22,9.99,paid,renewal
PAY_000130,SUB_000085,CUST_003765,2025-11-22,9.99,paid,renewal
PAY_000131,SUB_000085,CUST_003765,2025-12-22,9.99,paid,renewal
PAY_000132,SUB_000089,CUST_000854,2025-01-24,9.99,paid,trial_conversion
PAY_000133,SUB_000089,CUST_000854,2025-02-24,9.99,paid,renewal
PAY_000134,SUB_000089,CUST_000854,2025-03-24,9.99,paid,renewal
PAY_000135,SUB_000089,CUST_000854,2025-04-24,9.99,paid,renewal
PAY_000136,SUB_000089,CUST_000854,2025-05-24,9.99,paid,renewal
PAY_000137,SUB_000089,CUST_000854,2025-06-24,9.99,paid,renewal
PAY_000138,SUB_000089,CUST_000854,2025-07-24,9.99,paid,renewal
PAY_000139,SUB_000089,CUST_000854,2025-08-24,9.99,paid,renewal
PAY_000140,SUB_000089,CUST_000854,2025-09-24,9.99,paid,renewal
PAY_000141,SUB_000089,CUST_000854,2025-10-24,9.99,paid,renewal
PAY_000142,SUB_000089,CUST_000854,2025-11-24,9.99,paid,renewal
PAY_000143,SUB_000089,CUST_000854,2025-12-24,9.99,paid,renewal
PAY_000144,SUB_000091,CUST_001435,2025-01-24,99.96,paid,trial_conversion
PAY_000145,SUB_000092,CUST_000223,2025-01-24,9.99,paid,trial_conversion
PAY_000146,SUB_000092,CUST_000223,2025-02-24,9.99,paid,renewal
PAY_000147,SUB_000094,CUST_003848,2025-01-24,9.99,paid,trial_conversion
PAY_000148,SUB_000094,CUST_003848,2025-02-24,9.99,paid,renewal
PAY_000149,SUB_000094,CUST_003848,2025-03-24,9.99,paid,renewal
PAY_000150,SUB_000094,CUST_003848,2025-04-24,9.99,paid,renewal
PAY_000151,SUB_000094,CUST_003848,2025-05-24,9.99,paid,renewal
PAY_000152,SUB_000094,CUST_003848,2025-06-24,9.99,paid,renewal
PAY_000153,SUB_000094,CUST_003848,2025-07-24,9.99,paid,renewal
PAY_000154,SUB_000094,CUST_003848,2025-08-24,9.99,paid,renewal
PAY_000155,SUB_000094,CUST_003848,2025-09-24,9.99,paid,renewal
PAY_000156,SUB_000094,CUST_003848,2025-10-24,9.99,paid,renewal
PAY_000157,SUB_000094,CUST_003848,2025-11-24,9.99,paid,renewal
PAY_000158,SUB_000094,CUST_003848,2025-12-24,9.99,paid,renewal
PAY_000159,SUB_000096,CUST_001860,2025-01-24,9.99,paid,trial_conversion
PAY_000160,SUB_000096,CUST_001860,2025-02-24,9.99,paid,renewal
PAY_000161,SUB_000096,CUST_001860,2025-03-24,9.99,paid,renewal
PAY_000162,SUB_000096,CUST_001860,2025-04-24,9.99,paid,renewal
PAY_000163,SUB_000096,CUST_001860,2025-05-24,9.99,paid,renewal
PAY_000164,SUB_000096,CUST_001860,2025-06-24,9.99,paid,renewal
PAY_000165,SUB_000096,CUST_001860,2025-07-24,9.99,paid,renewal
PAY_000166,SUB_000096,CUST_001860,2025-08-24,9.99,paid,renewal
PAY_000167,SUB_000096,CUST_001860,2025-09-24,9.99,paid,renewal
PAY_000168,SUB_000096,CUST_001860,2025-10-24,9.99,paid,renewal
PAY_000169,SUB_000096,CUST_001860,2025-11-24,9.99,paid,renewal
PAY_000170,SUB_000096,CUST_001860,2025-12-24,9.99,paid,renewal
PAY_000171,SUB_000105,CUST_003960,2025-01-25,99.96,paid,trial_conversion
PAY_000172,SUB_000109,CUST_003572,2025-01-25,9.99,paid,trial_conversion
PAY_000173,SUB_000109,CUST_003572,2025-02-25,9.99,paid,renewal
PAY_000174,SUB_000109,CUST_003572,2025-03-25,9.99,paid,renewal
PAY_000175,SUB_000109,CUST_003572,2025-04-25,9.99,paid,renewal
PAY_000176,SUB_000109,CUST_003572,2025-05-25,9.99,paid,renewal
PAY_000177,SUB_000109,CUST_003572,2025-06-25,9.99,paid,renewal
PAY_000178,SUB_000109,CUST_003572,2025-07-25,9.99,paid,renewal
PAY_000179,SUB_000109,CUST_003572,2025-08-25,9.99,paid,renewal
PAY_000180,SUB_000109,CUST_003572,2025-09-25,9.99,paid,renewal
PAY_000181,SUB_000109,CUST_003572,2025-10-25,9.99,paid,renewal
PAY_000182,SUB_000109,CUST_003572,2025-11-25,9.99,paid,renewal
PAY_000183,SUB_000109,CUST_003572,2025-12-25,9.99,paid,renewal
PAY_000184,SUB_000115,CUST_003096,2025-01-26,99.96,paid,trial_conversion
PAY_000185,SUB_000116,CUST_003066,2025-01-26,9.99,paid,trial_conversion
PAY_000186,SUB_000116,CUST_003066,2025-02-26,9.99,paid,renewal
PAY_000187,SUB_000116,CUST_003066,2025-03-26,9.99,paid,renewal
PAY_000188,SUB_000116,CUST_003066,2025-04-26,9.99,paid,renewal
PAY_000189,SUB_000122,CUST_003634,2025-01-26,9.99,paid,trial_conversion
PAY_000190,SUB_000122,CUST_003634,2025-02-26,9.99,paid,renewal
PAY_000191,SUB_000122,CUST_003634,2025-03-26,9.99,paid,renewal
PAY_000192,SUB_000122,CUST_003634,2025-04-26,9.99,paid,renewal
PAY_000193,SUB_000122,CUST_003634,2025-05-26,9.99,paid,renewal
PAY_000194,SUB_000122,CUST_003634,2025-06-26,9.99,paid,renewal
PAY_000195,SUB_000122,CUST_003634,2025-07-26,9.99,paid,renewal
PAY_000196,SUB_000122,CUST_003634,2025-08-26,9.99,paid,renewal
PAY_000197,SUB_000122,CUST_003634,2025-09-26,9.99,paid,renewal
PAY_000198,SUB_000122,CUST_003634,2025-10-26,9.99,paid,renewal
PAY_000199,SUB_000122,CUST_003634,2025-11-26,9.99,paid,renewal
PAY_000200,SUB_000122,CUST_003634,2025-12-26,9.99,paid,renewal
PAY_000201,SUB_000133,CUST_001945,2025-01-27,9.99,paid,trial_conversion
PAY_000202,SUB_000133,CUST_001945,2025-02-27,9.99,paid,renewal
PAY_000203,SUB_000133,CUST_001945,2025-03-27,9.99,paid,renewal
PAY_000204,SUB_000133,CUST_001945,2025-04-27,9.99,paid,renewal
PAY_000205,SUB_000133,CUST_001945,2025-05-27,9.99,paid,renewal
PAY_000206,SUB_000133,CUST_001945,2025-06-27,9.99,paid,renewal
PAY_000207,SUB_000133,CUST_001945,2025-07-27,9.99,paid,renewal
PAY_000208,SUB_000133,CUST_001945,2025-08-27,9.99,paid,renewal
PAY_000209,SUB_000133,CUST_001945,2025-09-27,9.99,paid,renewal
PAY_000210,SUB_000133,CUST_001945,2025-10-27,9.99,paid,renewal
PAY_000211,SUB_000133,CUST_001945,2025-11-27,9.99,paid,renewal
PAY_000212,SUB_000133,CUST_001945,2025-12-27,9.99,paid,renewal
PAY_000213,SUB_000143,CUST_002293,2025-01-28,99.96,paid,trial_conversion
PAY_000214,SUB_000146,CUST_001521,2025-01-28,99.96,paid,trial_conversion
PAY_000215,SUB_000159,CUST_001322,2025-01-29,9.99,paid,trial_conversion
PAY_000216,SUB_000159,CUST_001322,2025-02-28,9.99,paid,renewal
PAY_000217,SUB_000159,CUST_001322,2025-03-28,9.99,paid,renewal
PAY_000218,SUB_000159,CUST_001322,2025-04-28,9.99,paid,renewal
PAY_000219,SUB_000159,CUST_001322,2025-05-28,9.99,paid,renewal
PAY_000220,SUB_000159,CUST_001322,2025-06-28,9.99,paid,renewal
PAY_000221,SUB_000159,CUST_001322,2025-07-28,9.99,paid,renewal
PAY_000222,SUB_000159,CUST_001322,2025-08-28,9.99,paid,renewal
PAY_000223,SUB_000159,CUST_001322,2025-09-28,9.99,paid,renewal
PAY_000224,SUB_000159,CUST_001322,2025-10-28,9.99,paid,renewal
PAY_000225,SUB_000159,CUST_001322,2025-11-28,9.99,paid,renewal
PAY_000226,SUB_000159,CUST_001322,2025-12-28,9.99,paid,renewal
PAY_000227,SUB_000163,CUST_002237,2025-01-30,9.99,paid,trial_conversion
PAY_000228,SUB_000163,CUST_002237,2025-02-28,9.99,paid,renewal
PAY_000229,SUB_000163,CUST_002237,2025-03-28,9.99,paid,renewal
PAY_000230,SUB_000163,CUST_002237,2025-04-28,9.99,paid,renewal
PAY_000231,SUB_000163,CUST_002237,2025-05-28,9.99,paid,renewal
PAY_000232,SUB_000163,CUST_002237,2025-06-28,9.99,paid,renewal
PAY_000233,SUB_000163,CUST_002237,2025-07-28,9.99,paid,renewal
PAY_000234,SUB_000163,CUST_002237,2025-08-28,9.99,paid,renewal
PAY_000235,SUB_000163,CUST_002237,2025-09-28,9.99,paid,renewal
PAY_000236,SUB_000163,CUST_002237,2025-10-28,9.99,paid,renewal
PAY_000237,SUB_000163,CUST_002237,2025-11-28,9.99,paid,renewal
PAY_000238,SUB_000163,CUST_002237,2025-12-28,9.99,paid,renewal
PAY_000239,SUB_000164,CUST_003681,2025-01-30,9.99,paid,trial_conversion
PAY_000240,SUB_000164,CUST_003681,2025-02-28,9.99,paid,renewal
PAY_000241,SUB_000164,CUST_003681,2025-03-28,9.99,paid,renewal
PAY_000242,SUB_000164,CUST_003681,2025-04-28,9.99,paid,renewal
PAY_000243,SUB_000164,CUST_003681,2025-05-28,9.99,paid,renewal
PAY_000244,SUB_000164,CUST_003681,2025-06-28,9.99,paid,renewal
PAY_000245,SUB_000164,CUST_003681,2025-07-28,9.99,paid,renewal
PAY_000246,SUB_000164,CUST_003681,2025-08-28,9.99,paid,renewal
PAY_000247,SUB_000164,CUST_003681,2025-09-28,9.99,paid,renewal
PAY_000248,SUB_000164,CUST_003681,2025-10-28,9.99,paid,renewal
PAY_000249,SUB_000164,CUST_003681,2025-11-28,9.99,paid,renewal
PAY_000250,SUB_000164,CUST_003681,2025-12-28,9.99,paid,renewal
PAY_000251,SUB_000171,CUST_001028,2025-01-31,99.96,paid,trial_conversion
PAY_000252,SUB_000172,CUST_000003,2025-01-31,99.96,paid,trial_conversion
PAY_000253,SUB_000173,CUST_003509,2025-01-31,9.99,paid,trial_conversion
PAY_000254,SUB_000173,CUST_003509,2025-02-28,9.99,paid,renewal
PAY_000255,SUB_000173,CUST_003509,2025-03-28,9.99,paid,renewal
PAY_000256,SUB_000173,CUST_003509,2025-04-28,9.99,paid,renewal
PAY_000257,SUB_000173,CUST_003509,2025-05-28,9.99,paid,renewal
PAY_000258,SUB_000173,CUST_003509,2025-06-28,9.99,paid,renewal
PAY_000259,SUB_000173,CUST_003509,2025-07-28,9.99,paid,renewal
PAY_000260,SUB_000173,CUST_003509,2025-08-28,9.99,paid,renewal
PAY_000261,SUB_000173,CUST_003509,2025-09-28,9.99,paid,renewal
PAY_000262,SUB_000173,CUST_003509,2025-10-28,9.99,paid,renewal
PAY_000263,SUB_000173,CUST_003509,2025-11-28,9.99,paid,renewal
PAY_000264,SUB_000173,CUST_003509,2025-12-28,9.99,paid,renewal
PAY_000265,SUB_000179,CUST_000810,2025-01-31,9.99,paid,trial_conversion
PAY_000266,SUB_000179,CUST_000810,2025-02-28,9.99,paid,renewal
PAY_000267,SUB_000179,CUST_000810,2025-03-28,9.99,paid,renewal
PAY_000268,SUB_000179,CUST_000810,2025-04-28,9.99,paid,renewal
PAY_000269,SUB_000179,CUST_000810,2025-05-28,9.99,paid,renewal
PAY_000270,SUB_000179,CUST_000810,2025-06-28,9.99,paid,renewal
PAY_000271,SUB_000179,CUST_000810,2025-07-28,9.99,paid,renewal
PAY_000272,SUB_000179,CUST_000810,2025-08-28,9.99,paid,renewal
PAY_000273,SUB_000179,CUST_000810,2025-09-28,9.99,paid,renewal
PAY_000274,SUB_000179,CUST_000810,2025-10-28,9.99,paid,renewal
PAY_000275,SUB_000179,CUST_000810,2025-11-28,9.99,paid,renewal
PAY_000276,SUB_000179,CUST_000810,2025-12-28,9.99,paid,renewal
PAY_000277,SUB_000181,CUST_001125,2025-01-31,9.99,paid,trial_conversion
PAY_000278,SUB_000181,CUST_001125,2025-02-28,9.99,paid,renewal
PAY_000279,SUB_000181,CUST_001125,2025-03-28,9.99,paid,renewal
PAY_000280,SUB_000181,CUST_001125,2025-04-28,9.99,paid,renewal
PAY_000281,SUB_000181,CUST_001125,2025-05-28,9.99,paid,renewal
PAY_000282,SUB_000181,CUST_001125,2025-06-28,9.99,paid,renewal
PAY_000283,SUB_000181,CUST_001125,2025-07-28,9.99,paid,renewal
PAY_000284,SUB_000181,CUST_001125,2025-08-28,9.99,paid,renewal
PAY_000285,SUB_000181,CUST_001125,2025-09-28,9.99,paid,renewal
PAY_000286,SUB_000181,CUST_001125,2025-10-28,9.99,paid,renewal
PAY_000287,SUB_000181,CUST_001125,2025-11-28,9.99,paid,renewal
PAY_000288,SUB_000181,CUST_001125,2025-12-28,9.99,paid,renewal
PAY_000289,SUB_000183,CUST_000523,2025-02-01,99.96,paid,trial_conversion
PAY_000290,SUB_000185,CUST_002323,2025-02-01,9.99,paid,trial_conversion
PAY_000291,SUB_000185,CUST_002323,2025-03-01,9.99,paid,renewal
PAY_000292,SUB_000185,CUST_002323,2025-04-01,9.99,paid,renewal
PAY_000293,SUB_000185,CUST_002323,2025-05-01,9.99,paid,renewal
PAY_000294,SUB_000185,CUST_002323,2025-06-01,9.99,paid,renewal
PAY_000295,SUB_000185,CUST_002323,2025-07-01,9.99,paid,renewal
PAY_000296,SUB_000185,CUST_002323,2025-08-01,9.99,paid,renewal
PAY_000297,SUB_000185,CUST_002323,2025-09-01,9.99,paid,renewal
PAY_000298,SUB_000185,CUST_002323,2025-10-01,9.99,paid,renewal
PAY_000299,SUB_000185,CUST_002323,2025-11-01,9.99,paid,renewal
PAY_000300,SUB_000185,CUST_002323,2025-12-01,9.99,paid,renewal
PAY_000301,SUB_000196,CUST_002839,2025-02-02,9.99,paid,trial_conversion
PAY_000302,SUB_000196,CUST_002839,2025-03-02,9.99,paid,renewal
PAY_000303,SUB_000196,CUST_002839,2025-04-02,9.99,paid,renewal
PAY_000304,SUB_000196,CUST_002839,2025-05-02,9.99,paid,renewal
PAY_000305,SUB_000196,CUST_002839,2025-06-02,9.99,paid,renewal
PAY_000306,SUB_000196,CUST_002839,2025-07-02,9.99,paid,renewal
PAY_000307,SUB_000196,CUST_002839,2025-08-02,9.99,paid,renewal
PAY_000308,SUB_000196,CUST_002839,2025-09-02,9.99,paid,renewal
PAY_000309,SUB_000196,CUST_002839,2025-10-02,9.99,paid,renewal
PAY_000310,SUB_000196,CUST_002839,2025-11-02,9.99,paid,renewal
PAY_000311,SUB_000196,CUST_002839,2025-12-02,9.99,paid,renewal
PAY_000312,SUB_000197,CUST_003604,2025-02-02,9.99,paid,trial_conversion
PAY_000313,SUB_000197,CUST_003604,2025-03-02,9.99,paid,renewal
PAY_000314,SUB_000197,CUST_003604,2025-04-02,9.99,paid,renewal
PAY_000315,SUB_000197,CUST_003604,2025-05-02,9.99,paid,renewal
PAY_000316,SUB_000197,CUST_003604,2025-06-02,9.99,paid,renewal
PAY_000317,SUB_000197,CUST_003604,2025-07-02,9.99,paid,renewal
PAY_000318,SUB_000197,CUST_003604,2025-08-02,9.99,paid,renewal
PAY_000319,SUB_000197,CUST_003604,2025-09-02,9.99,paid,renewal
PAY_000320,SUB_000197,CUST_003604,2025-10-02,9.99,paid,renewal
PAY_000321,SUB_000197,CUST_003604,2025-11-02,9.99,paid,renewal
PAY_000322,SUB_000197,CUST_003604,2025-12-02,9.99,paid,renewal
PAY_000323,SUB_000203,CUST_003702,2025-02-02,9.99,paid,trial_conversion
PAY_000324,SUB_000203,CUST_003702,2025-03-02,9.99,paid,renewal
PAY_000325,SUB_000203,CUST_003702,2025-04-02,9.99,paid,renewal
PAY_000326,SUB_000203,CUST_003702,2025-05-02,9.99,paid,renewal
PAY_000327,SUB_000203,CUST_003702,2025-06-02,9.99,paid,renewal
PAY_000328,SUB_000203,CUST_003702,2025-07-02,9.99,paid,renewal
PAY_000329,SUB_000203,CUST_003702,2025-08-02,9.99,paid,renewal
PAY_000330,SUB_000203,CUST_003702,2025-09-02,9.99,paid,renewal
PAY_000331,SUB_000203,CUST_003702,2025-10-02,9.99,paid,renewal
PAY_000332,SUB_000203,CUST_003702,2025-11-02,9.99,paid,renewal
PAY_000333,SUB_000203,CUST_003702,2025-12-02,9.99,paid,renewal
PAY_000334,SUB_000204,CUST_002514,2025-02-02,9.99,paid,trial_conversion
PAY_000335,SUB_000204,CUST_002514,2025-03-02,9.99,paid,renewal
PAY_000336,SUB_000204,CUST_002514,2025-04-02,9.99,paid,renewal
PAY_000337,SUB_000204,CUST_002514,2025-05-02,9.99,paid,renewal
PAY_000338,SUB_000204,CUST_002514,2025-06-02,9.99,paid,renewal
PAY_000339,SUB_000204,CUST_002514,2025-07-02,9.99,paid,renewal
PAY_000340,SUB_000205,CUST_000983,2025-02-02,9.99,paid,trial_conversion
PAY_000341,SUB_000205,CUST_000983,2025-03-02,9.99,paid,renewal
PAY_000342,SUB_000205,CUST_000983,2025-04-02,9.99,paid,renewal
PAY_000343,SUB_000205,CUST_000983,2025-05-02,9.99,paid,renewal
PAY_000344,SUB_000205,CUST_000983,2025-06-02,9.99,paid,renewal
PAY_000345,SUB_000205,CUST_000983,2025-07-02,9.99,paid,renewal
PAY_000346,SUB_000205,CUST_000983,2025-08-02,9.99,paid,renewal
PAY_000347,SUB_000205,CUST_000983,2025-09-02,9.99,paid,renewal
PAY_000348,SUB_000205,CUST_000983,2025-10-02,9.99,paid,renewal
PAY_000349,SUB_000205,CUST_000983,2025-11-02,9.99,paid,renewal
PAY_000350,SUB_000205,CUST_000983,2025-12-02,9.99,paid,renewal
PAY_000351,SUB_000207,CUST_003826,2025-02-02,99.96,paid,trial_conversion
PAY_000352,SUB_000212,CUST_002325,2025-02-02,9.99,paid,trial_conversion
PAY_000353,SUB_000212,CUST_002325,2025-03-02,9.99,paid,renewal
